Invalid location parameter value.
kailashahar,2023-04-17,41.2,23.5,31.3,46.9,23.5,33.8,20,57.1,0,0,0,,0,0,27,10.8,209.4,1006.8,24.4,17.5,303.5,26.1,10,75,2023-04-17T04:59:08,2023-04-17T17:44:38,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,41891099999,remote"
kailashahar,2023-04-18,41.1,23.8,31.2,47.8,23.8,33.7,20.3,58,0,0,0,,0,0,26.3,12.2,211.3,1007.6,31,17.4,302.2,26.1,10,60,2023-04-18T04:58:14,2023-04-18T17:45:04,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,41891099999,remote"
kailashahar,2023-04-19,41,23.6,30.9,45.5,23.6,33.4,20.5,59.3,0,0,0,,0,0,36.4,13.3,197.6,1004.5,33,17.5,308.2,26.7,10,60,2023-04-19T04:57:21,2023-04-19T17:45:31,0.97,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"42618099999,41915099999,41891099999,remote"
kailashahar,2023-04-20,39.7,21.7,28.1,44.5,21.7,30,21,69.4,17.4,100,16.67,rain,0,0,52.6,24.1,176.9,1002.8,41.6,16.4,275.4,23.7,10,75,2023-04-20T04:56:29,2023-04-20T17:45:57,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"42618099999,41915099999,41891099999,remote"
kailashahar,2023-04-21,39.1,20,25.5,42.5,20,26.5,21.3,80.5,16.5,100,29.17,rain,0,0,56.2,31,117.2,1004.4,67.8,14.8,214.3,18.5,10,100,2023-04-21T04:55:37,2023-04-21T17:46:24,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42618099999,41915099999,41891099999,remote"
kailashahar,2023-04-22,36,20.8,26.8,36.3,20.8,27.3,19.2,68.2,2.8,100,16.67,rain,0,0,33.8,11.5,252.9,1005,49.5,17.4,310.8,27,10,30,2023-04-22T04:54:46,2023-04-22T17:46:51,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"42618099999,41915099999,41891099999,remote"
kailashahar,2023-04-23,27.2,19.9,22.5,29.4,19.9,22.7,19.7,84.6,11.1,100,50,rain,0,0,30.2,13.3,39.2,1008.7,73.8,15.9,158,13.6,6,30,2023-04-23T04:53:56,2023-04-23T17:47:18,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"42618099999,41915099999,41891099999,remote"
kailashahar,2023-04-24,33.9,18.8,26.1,42.4,18.8,26.9,18.7,68,0.5,100,12.5,rain,0,0,12.2,8.6,358.8,1010.6,38.9,17.5,316.7,27.4,10,10,2023-04-24T04:53:06,2023-04-24T17:47:45,0.13,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"42618099999,41915099999,41891099999,remote"
kailashahar,2023-04-25,34.9,21.3,27.7,37.2,21.3,28.3,18.6,61.2,0,0,0,,0,0,16.6,11.2,305.4,1010,32.5,17.6,312.7,27.1,10,10,2023-04-25T04:52:18,2023-04-25T17:48:12,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,41891099999,remote"
kailashahar,2023-04-26,36.1,21.9,28,36.2,21.9,28.3,17.1,56.3,0,0,0,,0,0,17.3,10.1,337.6,1008.5,53.2,17.6,308.7,26.7,10,10,2023-04-26T04:51:30,2023-04-26T17:48:40,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42618099999,41915099999,41891099999,remote"
